,Text,Positive?
0, أبذل الجهد و العرق و توكل على الله و اطمئن فرزقك مضمون,1.0
1, احُبك ربي,1.0
2, اللهم عفوك و رضاك و الجنه ,1.0
3, الماء هى الحياة,1.0
4, بالفعل لازم كل واحد بيتكلم عن الدين اقل مافيها يلتزم باقل مبادئه عشان يكون قدوة مش ييخلي الناس تقول هو ده الدين,1.0
5, بوركت جهودك و سلمت اناملك,1.0
6, سبحان القادر المقتدر بيده ملكوت كل شيء,1.0
7, قلوب العباد بين اصبعين من اصابع الرحمن,1.0
8, لا اله الا الله اما من يتحرى الصدق يكتب عندا الله صادقا,1.0
9, نسأل الله العفو و العافية,1.0
10, و أسعدنا في الآخرة بجوارك و متع أبصارنا في الجنة بالنظر إلى وجهك الكريم,1.0
11, و أقرّ أعيوننا بقربك ,1.0
12, و أملأ أرواحنا بحبك ,1.0
13, و نجدد قلبنا بالإيمان مع بعض ,1.0
14,#احسنوا الظن ,1.0
15,Unnamed: 0,1.0
16,Unnamed: 1,1.0
17, احسن علاج هذا,1.0
18, الحل الوحيد هو القرب من الله وذكره  (الا بذكر الله تطمئن القلوب )قال الله تعالى,1.0
19, الحل الوحيييييييد(حب الله ورسوله وطاعتهم),1.0
20, انا احب هذا الكاتب,1.0
21, اي صح و حاليا فاقده الاثنين,1.0
22, جميل جدا,1.0
23, صح جدا,1.0
24, كلام صحيح من شان هيك الدول اللي ما فيها بطالة والمجتمعات المفتوحة بتقل فيها المشاكل النفسية,1.0
25, معك حق,1.0
26, معلومه ممتازه,1.0
27, والله صحيح,1.0
28, وهذه من اكبر المشاكل التي تؤرق الشباب في هذه الايام,1.0
29,أجمل ابتسامه,1.0
30,أجمل شيء مخافة الله تعالى,1.0
31,أحب الله تعالى و رسوله الكريم,1.0
32,أحسن شيء العمل الذي يؤدي للاستمرارية,1.0
33,أحلى صباح من أحلى شيخ في العالم ,1.0
34,أحيانا يكون الفشل دافع للنجاح,1.0
35,أخرج أهل سوريا من الضيق إلى الفرج,1.0
36,أسأل الله أن يرزقني من يدعو لي في ظهر الغيب ,1.0
37,أسوء شيء ان تكذب لأنك ستبدأ سلسلة لا نهاية لها من الأكاذيب و في النهاية ستكشف,1.0
38,أفتخر إني مسلم نعمه من نعم ربي,1.0
39,أفعال لا تحتاج إلى أقوال,1.0
40,أفعال لا تضاهيها أقوال,1.0
41,أكيد جزاك الله خيرا,1.0
42,أللهم ارضنا بما قسمته لنا,1.0
43,أللهم ثبت قلوبنا على الإيمان,1.0
44,أن الله لا يتخل عن عباده أبدا,1.0
45,أن الله موجود,1.0
46,أنا أقدر الاخلاص و الوفاء بشكل كبير ,1.0
47,أنا فعلا قررت وأخدت القرار ده وحاسة براحة وسعادة كبيرة أوي بقربي من ربنا بجد الحمد لله,1.0
48,أنما بعثت لأتم مكارم الأخلاق,1.0
49,أهلا بك في دين الحق والسلام,1.0
50,أهلا وسهلا بك بيننا يا طارق,1.0
51,أهلاً وسهلاً بحضرتك :)),1.0
52,إذا غلبك أمر وعجزت عن التعامل معه فكرر ((يا حي يا قيوم برحمتك استغيث)),1.0
